Asset,HorizonDays,FuturePMProbability,ProbabilityDelta,ImpliedAssetReturn,WithoutPM_PnL,WithPM_PnL
BTC,3,0.1,-0.38449999999999995,-0.006564806226727166,-6.587973502859764,-1.646993375714941
BTC,3,0.15,-0.3345,-0.005711125312978511,-5.93132966401575,-1.4828324160039374
BTC,3,0.2,-0.2845,-0.004857444399229854,-5.274685825171733,-1.3186714562929331
BTC,3,0.25,-0.2345,-0.004003763485481198,-4.618041986327716,-1.154510496581929
BTC,3,0.3,-0.1845,-0.0031500825717325417,-3.9613981474837003,-0.9903495368709251
BTC,3,0.35,-0.1345,-0.0022964016579838857,-3.3047543086396844,-0.8261885771599211
BTC,3,0.4,-0.08449999999999996,-0.0014427207442352285,-2.648110469795667,-0.6620276174489168
BTC,3,0.45,-0.034499999999999975,-0.0005890398304865724,-1.9914666309516513,-0.49786665773791283
BTC,3,0.5,0.015500000000000014,0.00026464108326208367,-1.3348227921076354,-0.33370569802690886
BTC,3,0.55,0.06550000000000006,0.0011183219970107407,-0.6781789532636187,-0.16954473831590466
BTC,3,0.6,0.11549999999999999,0.001972002910759396,-0.021535114419603207,-0.005383778604900802
BTC,3,0.65,0.16550000000000004,0.0028256838245080533,0.6351087244244136,0.1587771811061034
BTC,3,0.7,0.21549999999999997,0.003679364738256708,1.291752563268429,0.32293814081710726
BTC,3,0.75,0.2655,0.004533045652005365,1.9483964021124454,0.48709910052811134
BTC,3,0.8,0.31550000000000006,0.005386726565754021,2.6050402409564617,0.6512600602391154
BTC,3,0.85,0.3655,0.006240407479502677,3.261684079800477,0.8154210199501193
BTC,3,0.9,0.41550000000000004,0.007094088393251334,3.9183279186444944,0.9795819796611236
BTC,7,0.1,-0.38449999999999995,-0.010027907152231558,-9.251760228560176,-2.312940057140044
BTC,7,0.15,-0.3345,-0.0087238880167008,-8.24872019651715,-2.0621800491292874
BTC,7,0.2,-0.2845,-0.007419868881170036,-7.245680164474119,-1.8114200411185297
BTC,7,0.25,-0.2345,-0.006115849745639274,-6.24264013243109,-1.5606600331077725
BTC,7,0.3,-0.1845,-0.004811830610108512,-5.23960010038806,-1.309900025097015
BTC,7,0.35,-0.1345,-0.00350781147457775,-4.23656006834503,-1.0591400170862575
BTC,7,0.4,-0.08449999999999996,-0.002203792339046987,-3.233520036302,-0.8083800090755
BTC,7,0.45,-0.034499999999999975,-0.0008997732035162251,-2.2304800042589705,-0.5576200010647426
BTC,7,0.5,0.015500000000000014,0.0004042459320145366,-1.227439972215941,-0.30685999305398526
BTC,7,0.55,0.06550000000000006,0.0017082650675453,-0.22439994017291043,-0.05609998504322761
BTC,7,0.6,0.11549999999999999,0.00301228420307606,0.7786400918701175,0.19466002296752938
BTC,7,0.65,0.16550000000000004,0.004316303338606824,1.7816801239131483,0.4454200309782871
BTC,7,0.7,0.21549999999999997,0.005620322474137584,2.784720155956177,0.6961800389890442
BTC,7,0.75,0.2655,0.006924341609668347,3.787760187999207,0.9469400469998017
BTC,7,0.8,0.31550000000000006,0.00822836074519911,4.790800220042238,1.1977000550105594
BTC,7,0.85,0.3655,0.00953237988072987,5.793840252085266,1.4484600630213165
BTC,7,0.9,0.41550000000000004,0.010836399016260633,6.796880284128297,1.6992200710320742
BTC,14,0.1,-0.38449999999999995,-0.014181602296904029,-12.446745944251745,-3.1116864860629363
BTC,14,0.15,-0.3345,-0.01233744074984239,-11.028233127333351,-2.757058281833338
BTC,14,0.2,-0.2845,-0.010493279202780745,-9.609720310414954,-2.4024300776037384
BTC,14,0.25,-0.2345,-0.008649117655719104,-8.19120749349656,-2.04780187337414
BTC,14,0.3,-0.1845,-0.006804956108657461,-6.772694676578162,-1.6931736691445405
BTC,14,0.35,-0.1345,-0.004960794561595819,-5.354181859659766,-1.3385454649149415
BTC,14,0.4,-0.08449999999999996,-0.003116633014534175,-3.9356690427413694,-0.9839172606853424
BTC,14,0.45,-0.034499999999999975,-0.0012724714674725323,-2.517156225822973,-0.6292890564557433
BTC,14,0.5,0.015500000000000014,0.0005716900795891096,-1.0986434089045773,-0.27466085222614434
BTC,14,0.55,0.06550000000000006,0.002415851626650754,0.31986940801382,0.079967352003455
BTC,14,0.6,0.11549999999999999,0.004260013173712393,1.7383822249322138,0.43459555623305346
BTC,14,0.65,0.16550000000000004,0.006104174720774038,3.1568950418506114,0.7892237604626529
BTC,14,0.7,0.21549999999999997,0.007948336267835678,4.5754078587690055,1.1438519646922514
BTC,14,0.75,0.2655,0.009792497814897322,5.993920675687403,1.4984801689218508
BTC,14,0.8,0.31550000000000006,0.011636659361958965,7.412433492605799,1.8531083731514497
BTC,14,0.85,0.3655,0.013480820909020606,8.830946309524194,2.2077365773810484
BTC,14,0.9,0.41550000000000004,0.01532498245608225,10.249459126442591,2.562364781610648
BTC,30,0.1,-0.38449999999999995,-0.020759740074113592,-17.506591576156655,-4.376647894039164
BTC,30,0.15,-0.3345,-0.018060163991654093,-15.430101433893022,-3.8575253584732554
BTC,30,0.2,-0.2845,-0.015360587909194584,-13.353611291629381,-3.3384028229073452
BTC,30,0.25,-0.2345,-0.01266101182673508,-11.277121149365744,-2.819280287341436
BTC,30,0.3,-0.1845,-0.009961435744275575,-9.200631007102107,-2.3001577517755267
BTC,30,0.35,-0.1345,-0.00726185966181607,-7.124140864838468,-1.781035216209617
BTC,30,0.4,-0.08449999999999996,-0.004562283579356562,-5.0476507225748275,-1.2619126806437069
BTC,30,0.45,-0.034499999999999975,-0.0018627074968970573,-2.97116058031119,-0.7427901450777975
BTC,30,0.5,0.015500000000000014,0.0008368685855624473,-0.8946704380475522,-0.22366760951188805
BTC,30,0.55,0.06550000000000006,0.003536444668021955,1.181819704216088,0.295454926054022
BTC,30,0.6,0.11549999999999999,0.006236020750481457,3.2583098464797233,0.8145774616199308
BTC,30,0.65,0.16550000000000004,0.008935596832940965,5.334799988743364,1.333699997185841
BTC,30,0.7,0.21549999999999997,0.011635172915400466,7.411290131006999,1.8528225327517498
BTC,30,0.75,0.2655,0.014334748997859973,9.487780273270637,2.3719450683176593
BTC,30,0.8,0.31550000000000006,0.01703432508031948,11.564270415534278,2.8910676038835694
BTC,30,0.85,0.3655,0.019733901162778983,13.640760557797915,3.4101901394494787
BTC,30,0.9,0.41550000000000004,0.02243347724523849,15.717250700061555,3.929312675015389
