entry_time,exit_time,qty,buy_cost_incl_fees,sell_proceeds_after_fee,realized_pnl,exit_reason,cum_equity,cum_return_pct
2024-07-15,2024-08-02,3.4540167742601553,564.3969800863158,526.4244457382996,-37.97253434801621,STOP,9962.027465651983,-0.3797253434801678
2024-08-23,2024-08-27,2.817047416424076,441.51406860766167,413.19556396593674,-28.318504641724928,STOP,9933.70896101026,-0.6629103898974062
2024-09-24,2024-09-25,1.2493972685295136,191.30966575275713,184.6627418074497,-6.646923945307435,STOP,9927.062037064952,-0.7293796293504784
2024-09-26,2024-10-01,3.360270648907847,524.8286595871893,487.4812651987979,-37.34739438839142,STOP,9889.71464267656,-1.1028535732344062
2024-10-14,2024-11-07,4.057660990167083,654.481103867667,795.4646355327862,140.98353166511924,TARGET,10030.69817434168,0.30698174341679985
2024-11-12,2024-12-19,1.5060120774452943,333.388877520468,292.15608068165733,-41.23279683881066,STOP,9989.46537750287,-0.1053462249713084
2025-01-17,2025-02-01,2.754694948802051,662.5726301152978,588.0294374395793,-74.5431926757185,STOP,9914.92218482715,-0.8507781517285002
2025-05-02,2025-06-05,3.606910676099136,558.175416317483,520.5717524959572,-37.603663821525856,STOP,9877.318521005624,-1.2268147899437645
2025-07-13,2025-08-02,3.4523808155456432,591.7352473737216,546.3232853501454,-45.411962023576166,STOP,9831.906558982047,-1.680934410179525
2025-08-12,2025-09-25,2.958386652662722,618.1507864777174,568.2832752791129,-49.86751119860446,STOP,9782.039047783444,-2.179609522165556
2025-10-03,2025-10-10,2.719351663960094,625.4924392827836,512.2740842990681,-113.21835498371547,STOP,9668.820692799729,-3.3117930720027102
2026-01-06,2026-01-07,1.3177276803852505,186.2082795281269,179.35409272270772,-6.854186805419175,STOP,9661.966505994309,-3.3803349400569096
2026-01-11,2026-01-19,4.7076738326147645,668.5318251308727,626.7738469605778,-41.757978170294905,STOP,9620.208527824014,-3.7979147217598617
